Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,MIL,DET,1,MIL,MIL,1539.62,1544.46,1401.61,1396.77,199362,62782,6359,
Eastern,1,1,8,MIL,DET,2,MIL,MIL,1544.46,1549.11,1396.77,1392.12,201951,60193,7313,
Eastern,1,1,8,MIL,DET,3,DET,MIL,1549.11,1556.39,1392.12,1384.84,164858,97286,7932,
Eastern,1,1,8,MIL,DET,4,DET,MIL,1556.39,1563.28,1384.84,1377.95,170120,92024,7630,
Eastern,1,2,7,TOR,ORL,1,TOR,TOR,1518.32,1524.87,1453.1,1446.56,178118,84026,7285,
Eastern,1,2,7,TOR,ORL,2,TOR,TOR,1524.87,1531.08,1446.56,1440.34,180845,81299,7351,
Eastern,1,2,7,TOR,ORL,3,ORL,TOR,1531.08,1540.2,1440.34,1431.22,141462,120682,8397,
Eastern,1,2,7,TOR,ORL,4,ORL,TOR,1540.2,1548.8,1431.22,1422.62,149380,112764,8402,
Eastern,1,3,6,PHI,BKN,1,PHI,PHI,1464.94,1472.31,1431.46,1424.09,167828,94316,7795,
Eastern,1,3,6,PHI,BKN,2,PHI,PHI,1472.31,1479.29,1424.09,1417.1,172920,89224,7455,
Eastern,1,3,6,PHI,BKN,3,BKN,PHI,1479.29,1489.23,1417.1,1407.17,131085,131059,8622,
Eastern,1,3,6,PHI,BKN,4,BKN,PHI,1489.23,1498.59,1407.17,1397.8,138889,123255,14260,
Eastern,1,4,5,BOS,IND,1,BOS,BOS,1462.37,1469.53,1421.1,1413.93,170363,91781,7595,
Eastern,1,4,5,BOS,IND,2,BOS,BOS,1469.53,1476.32,1413.93,1407.14,175505,86639,7453,
Eastern,1,4,5,BOS,IND,3,IND,BOS,1476.32,1486.06,1407.14,1397.41,133669,128475,8520,
Eastern,1,4,5,BOS,IND,4,IND,BOS,1486.06,1495.24,1397.41,1388.23,141462,120682,8489,
Eastern,2,1,4,MIL,BOS,1,MIL,MIL,1563.28,1569.76,1495.24,1488.76,178118,84026,7402,
Eastern,2,1,4,MIL,BOS,2,MIL,MIL,1569.76,1575.91,1488.76,1482.61,183489,78655,8142,
Eastern,2,1,4,MIL,BOS,3,BOS,MIL,1575.91,1584.95,1482.61,1473.57,141462,120682,8465,
Eastern,2,1,4,MIL,BOS,4,BOS,MIL,1584.95,1593.48,1473.57,1465.04,149380,112764,8307,
Eastern,2,2,3,TOR,PHI,1,TOR,TOR,1548.8,1555.73,1498.59,1491.66,172920,89224,16605,
Eastern,2,2,3,TOR,PHI,2,TOR,TOR,1555.73,1562.3,1491.66,1485.09,178118,84026,15812,
Eastern,2,2,3,TOR,PHI,3,PHI,TOR,1562.3,1571.81,1485.09,1475.59,136260,125884,8515,
Eastern,2,2,3,TOR,PHI,4,PHI,TOR,1571.81,1580.77,1475.59,1466.62,144146,117998,8485,
Eastern,3,1,2,MIL,TOR,1,MIL,MIL,1593.48,1601.42,1580.77,1572.83,159839,102305,7919,
Eastern,3,1,2,MIL,TOR,2,MIL,MIL,1601.42,1608.93,1572.83,1565.33,165165,96979,7880,
Eastern,3,1,2,MIL,TOR,3,TOR,TOR,1565.33,1574.86,1608.93,1599.4,138987,123157,8398,
Eastern,3,1,2,MIL,TOR,4,TOR,TOR,1574.86,1583.84,1599.4,1590.41,146688,115456,8402,
Eastern,3,1,2,MIL,TOR,5,MIL,MIL,1590.41,1598.52,1583.84,1575.73,157173,104971,7994,
Eastern,3,1,2,MIL,TOR,6,TOR,TOR,1575.73,1584.67,1598.52,1589.59,146688,115456,8405,
Eastern,3,1,2,MIL,TOR,7,MIL,MIL,1589.59,1597.74,1584.67,1576.51,157173,104971,8010,
Western,1,1,8,GSW,LAC,1,GSW,GSW,1530.88,1537.38,1463.92,1457.42,178118,84026,7454,
Western,1,1,8,GSW,LAC,2,GSW,GSW,1537.38,1543.56,1457.42,1451.24,183489,78655,7214,
Western,1,1,8,GSW,LAC,3,LAC,GSW,1543.56,1552.63,1451.24,1442.17,141462,120682,8420,
Western,1,1,8,GSW,LAC,4,LAC,GSW,1552.63,1561.19,1442.17,1433.61,149380,112764,8345,
Western,1,2,7,DEN,SAS,1,DEN,DEN,1498.56,1506.18,1474.15,1466.53,162501,99643,7849,
Western,1,2,7,DEN,SAS,2,DEN,DEN,1506.18,1513.39,1466.53,1459.33,167828,94316,7744,
Western,1,2,7,DEN,SAS,3,SAS,SAS,1459.33,1469.16,1513.39,1503.56,133708,128436,8484,
Western,1,2,7,DEN,SAS,4,SAS,SAS,1469.16,1478.42,1503.56,1494.29,141574,120570,8774,
Western,1,2,7,DEN,SAS,5,DEN,DEN,1494.29,1502.15,1478.42,1470.57,159839,102305,7917,
Western,1,2,7,DEN,SAS,6,SAS,SAS,1470.57,1479.75,1502.15,1492.96,144104,118040,8483,
Western,1,2,7,DEN,SAS,7,DEN,DEN,1492.96,1500.89,1479.75,1471.83,159839,102305,7912,
Western,1,3,6,POR,OKC,1,POR,POR,1529.56,1536.18,1467.18,1460.56,175505,86639,10289,
Western,1,3,6,POR,OKC,2,POR,POR,1536.18,1542.46,1460.56,1454.28,180845,81299,7332,
Western,1,3,6,POR,OKC,3,OKC,POR,1542.46,1551.66,1454.28,1445.09,141462,120682,8448,
Western,1,3,6,POR,OKC,4,OKC,POR,1551.66,1560.32,1445.09,1436.42,146805,115339,8407,
Western,1,4,5,HOU,UTA,1,HOU,HOU,1537.47,1544.6,1494.68,1487.55,170363,91781,7621,
Western,1,4,5,HOU,UTA,2,HOU,HOU,1544.6,1551.35,1487.55,1480.8,175505,86639,7436,
Western,1,4,5,HOU,UTA,3,UTA,HOU,1551.35,1561.05,1480.8,1471.1,133669,128475,8553,
Western,1,4,5,HOU,UTA,4,UTA,HOU,1561.05,1570.19,1471.1,1461.96,141462,120682,8458,
Western,2,1,4,GSW,HOU,1,GSW,GSW,1561.19,1569.73,1570.19,1561.65,151961,110183,8189,
Western,2,1,4,GSW,HOU,2,GSW,GSW,1569.73,1577.79,1561.65,1553.58,157173,104971,8091,
Western,2,1,4,GSW,HOU,3,HOU,HOU,1553.58,1562.55,1577.79,1568.82,146688,115456,8316,
Western,2,1,4,GSW,HOU,4,HOU,HOU,1562.55,1571.02,1568.82,1560.36,151961,110183,16212,
Western,2,1,4,GSW,HOU,5,GSW,GSW,1560.36,1568.95,1571.02,1562.43,151961,110183,9489,
Western,2,1,4,GSW,HOU,6,HOU,HOU,1562.43,1570.9,1568.95,1560.47,151961,110183,8956,
Western,2,1,4,GSW,HOU,7,GSW,GSW,1560.47,1569.06,1570.9,1562.32,151961,110183,10166,
Western,2,2,3,DEN,POR,1,DEN,DEN,1500.89,1510.87,1560.32,1550.34,133708,128436,8635,
