Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D
Eastern,1,1,8,MIL,DET,1,MIL,MIL,1539.62,1544.9,1401.61,1396.33,18481,6520,740,
Eastern,1,1,8,MIL,DET,2,MIL,MIL,1544.9,1549.95,1396.33,1391.28,18769,6232,594,
Eastern,1,1,8,MIL,DET,3,DET,MIL,1549.95,1556.66,1391.28,1384.57,16473,8528,672,
Eastern,1,1,8,MIL,DET,4,DET,MIL,1556.66,1563.03,1384.57,1378.2,16970,8031,658,
Eastern,1,2,7,TOR,ORL,1,TOR,TOR,1518.32,1525.38,1453.1,1446.04,16195,8806,682,
Eastern,1,2,7,TOR,ORL,2,TOR,TOR,1525.38,1532.08,1446.04,1439.35,16722,8279,663,
Eastern,1,2,7,TOR,ORL,3,ORL,TOR,1532.08,1540.57,1439.35,1430.85,14255,10746,743,
Eastern,1,2,7,TOR,ORL,4,ORL,TOR,1540.57,1548.59,1430.85,1422.83,14738,10263,725,
Eastern,1,3,6,PHI,BKN,1,PHI,PHI,1464.94,1472.85,1431.46,1423.54,15214,9787,719,
Eastern,1,3,6,PHI,BKN,2,PHI,PHI,1472.85,1480.34,1423.54,1416.06,15713,9288,695,
Eastern,1,3,6,PHI,BKN,3,BKN,PHI,1480.34,1489.64,1416.06,1406.75,13258,11743,753,
Eastern,1,3,6,PHI,BKN,4,BKN,PHI,1489.64,1498.41,1406.75,1397.98,14002,10999,795,
Eastern,1,4,5,BOS,IND,1,BOS,BOS,1462.37,1470.07,1421.1,1413.4,15466,9535,702,
Eastern,1,4,5,BOS,IND,2,BOS,BOS,1470.07,1477.36,1413.4,1406.11,15964,9037,688,
Eastern,1,4,5,BOS,IND,3,IND,BOS,1477.36,1486.46,1406.11,1397.01,13498,11503,1417,
Eastern,1,4,5,BOS,IND,4,IND,BOS,1486.46,1495.05,1397.01,1388.42,14255,10746,884,
Eastern,2,1,4,MIL,BOS,1,MIL,MIL,1563.03,1570.02,1495.05,1488.06,16478,8523,702,
Eastern,2,1,4,MIL,BOS,2,MIL,MIL,1570.02,1576.65,1488.06,1481.43,16722,8279,718,
Eastern,2,1,4,MIL,BOS,3,BOS,MIL,1576.65,1585.07,1481.43,1473.01,14255,10746,798,
Eastern,2,1,4,MIL,BOS,4,BOS,MIL,1585.07,1593.03,1473.01,1465.05,14998,10003,777,
Eastern,2,2,3,TOR,PHI,1,TOR,TOR,1548.59,1556.05,1498.41,1490.95,15713,9288,755,
Eastern,2,2,3,TOR,PHI,2,TOR,TOR,1556.05,1563.12,1490.95,1483.89,16195,8806,679,
Eastern,2,2,3,TOR,PHI,3,PHI,TOR,1563.12,1571.99,1483.89,1475.01,13746,11255,745,
Eastern,2,2,3,TOR,PHI,4,PHI,TOR,1571.99,1580.37,1475.01,1466.64,14514,10487,773,
Eastern,3,1,2,MIL,TOR,1,MIL,MIL,1593.03,1601.52,1580.37,1571.87,14461,10540,793,
Eastern,3,1,2,MIL,TOR,2,MIL,MIL,1601.52,1609.54,1571.87,1563.85,14971,10030,778,
Eastern,3,1,2,MIL,TOR,3,TOR,MIL,1609.54,1619.38,1563.85,1554.01,12564,12437,829,
Eastern,3,1,2,MIL,TOR,4,TOR,MIL,1619.38,1628.65,1554.01,1544.74,13258,11743,788,
Western,1,1,8,GSW,LAC,1,GSW,GSW,1530.88,1537.9,1463.92,1456.9,16195,8806,958,
Western,1,1,8,GSW,LAC,2,GSW,GSW,1537.9,1544.55,1456.9,1450.25,16722,8279,678,
Western,1,1,8,GSW,LAC,3,LAC,GSW,1544.55,1553,1450.25,1441.8,14255,10746,737,
Western,1,1,8,GSW,LAC,4,LAC,GSW,1553,1560.98,1441.8,1433.82,14998,10003,910,
Western,1,2,7,DEN,SAS,1,DEN,DEN,1498.56,1506.73,1474.15,1465.98,14971,10030,757,
Western,1,2,7,DEN,SAS,2,DEN,DEN,1506.73,1514.45,1465.98,1458.27,15466,9535,762,
Western,1,2,7,DEN,SAS,3,SAS,DEN,1514.45,1523.98,1458.27,1448.73,13050,11951,820,
Western,1,2,7,DEN,SAS,4,SAS,DEN,1523.98,1532.97,1448.73,1439.74,13746,11255,831,
Western,1,3,6,POR,OKC,1,POR,POR,1529.56,1536.7,1467.18,1460.04,16195,8806,739,
Western,1,3,6,POR,OKC,2,POR,POR,1536.7,1543.46,1460.04,1453.28,16722,8279,768,
Western,1,3,6,POR,OKC,3,OKC,POR,1543.46,1552.03,1453.28,1444.71,14255,10746,797,
Western,1,3,6,POR,OKC,4,OKC,POR,1552.03,1560.12,1444.71,1436.63,14738,10263,774,
Western,1,4,5,HOU,UTA,1,HOU,HOU,1537.47,1545.14,1494.68,1487.02,15466,9535,763,
Western,1,4,5,HOU,UTA,2,HOU,HOU,1545.14,1552.38,1487.02,1479.77,15964,9037,756,
Western,1,4,5,HOU,UTA,3,UTA,HOU,1552.38,1561.45,1479.77,1470.7,13498,11503,756,
Western,1,4,5,HOU,UTA,4,UTA,HOU,1561.45,1570,1470.7,1462.15,14255,10746,735,
Western,2,1,4,GSW,HOU,1,GSW,GSW,1560.98,1570.09,1570,1560.89,13714,11287,830,
Western,2,1,4,GSW,HOU,2,GSW,GSW,1570.09,1578.68,1560.89,1552.29,14461,10540,742,
Western,2,1,4,GSW,HOU,3,HOU,HOU,1552.29,1561.9,1578.68,1569.07,12951,12050,767,
Western,2,1,4,GSW,HOU,4,HOU,HOU,1561.9,1570.96,1569.07,1560.01,13714,11287,785,
Western,2,1,4,GSW,HOU,5,GSW,GSW,1560.01,1569.18,1570.96,1561.79,13714,11287,811,
Western,2,1,4,GSW,HOU,6,HOU,HOU,1561.79,1570.86,1569.18,1560.12,13714,11287,820,
Western,2,1,4,GSW,HOU,7,GSW,GSW,1560.12,1569.28,1570.86,1561.7,13714,11287,810,
Western,2,2,3,DEN,POR,1,DEN,DEN,1532.97,1542.6,1560.12,1550.49,12951,12050,1078,
Western,2,2,3,DEN,POR,2,DEN,DEN,1542.6,1551.68,1550.49,1541.41,13714,11287,810,
Western,2,2,3,DEN,POR,3,POR,POR,1541.41,1550.55,1551.68,1542.53,13714,11287,810,
Western,2,2,3,DEN,POR,4,POR,POR,1550.55,1559.18,1542.53,1533.91,14217,10784,776,
Western,2,2,3,DEN,POR,5,DEN,DEN,1533.91,1543.48,1559.18,1549.6,13196,11805,732,
Western,2,2,3,DEN,POR,6,POR,POR,1549.6,1558.28,1543.48,1534.8,14217,10784,727,
Western,2,2,3,DEN,POR,7,DEN,DEN,1534.8,1544.33,1558.28,1548.76,13196,11805,814,
Western,3,1,2,GSW,DEN,1,GSW,GSW,1569.28,1577.43,1544.33,1536.18,14971,10030,717,
Western,3,1,2,GSW,DEN,2,GSW,GSW,1577.43,1585.13,1536.18,1528.47,15466,9535,702,
Western,3,1,2,GSW,DEN,3,DEN,GSW,1585.13,1594.65,1528.47,1518.95,13050,11951,820,
Western,3,1,2,GSW,DEN,4,DEN,GSW,1594.65,1603.63,1518.95,1509.98,13746,11255,826,
Final,4,1,1,MIL,GSW,1,MIL,MIL,1628.65,1636.8,1603.63,1595.48,14971,10030,779,
Final,4,1,1,MIL,GSW,2,MIL,MIL,1636.8,1644.5,1595.48,1587.78,15466,9535,763,
Final,4,1,1,MIL,GSW,3,GSW,MIL,1644.5,1654.02,1587.78,1578.26,13050,11951,791,
Final,4,1,1,MIL,GSW,4,GSW,MIL,1654.02,1663,1578.26,1569.28,13746,11255,747,
