Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,MIL,DET,1,MIL,DET,1401.61,1432.34,1539.62,1508.9,4,4,243,
Eastern,1,1,8,MIL,DET,2,MIL,DET,1432.34,1460.31,1508.9,1480.93,4,4,58,
Eastern,1,1,8,MIL,DET,3,DET,MIL,1480.93,1503.75,1460.31,1437.48,5,3,56,
Eastern,1,1,8,MIL,DET,4,DET,DET,1437.48,1457.27,1503.75,1483.96,5,3,64,
Eastern,1,1,8,MIL,DET,5,MIL,DET,1457.27,1482.69,1483.96,1458.54,4,4,63,
Eastern,1,2,7,TOR,ORL,1,TOR,TOR,1518.32,1530.91,1453.1,1440.52,5,3,56,
Eastern,1,2,7,TOR,ORL,2,TOR,ORL,1440.52,1469.14,1530.91,1502.28,5,3,57,
Eastern,1,2,7,TOR,ORL,3,ORL,TOR,1502.28,1524.4,1469.14,1447.03,4,4,63,
Eastern,1,2,7,TOR,ORL,4,ORL,ORL,1447.03,1467.45,1524.4,1503.97,5,3,58,
Eastern,1,2,7,TOR,ORL,5,TOR,ORL,1467.45,1493.4,1503.97,1478.02,5,3,62,
Eastern,1,2,7,TOR,ORL,6,ORL,ORL,1493.4,1508.58,1478.02,1462.84,5,3,64,
Eastern,1,3,6,PHI,BKN,1,PHI,PHI,1464.94,1479.15,1431.46,1417.24,5,3,57,
Eastern,1,3,6,PHI,BKN,2,PHI,BKN,1417.24,1444.49,1479.15,1451.9,5,3,55,
Eastern,1,3,6,PHI,BKN,3,BKN,PHI,1451.9,1475.47,1444.49,1420.93,5,3,202,
Eastern,1,3,6,PHI,BKN,4,BKN,BKN,1420.93,1440.04,1475.47,1456.36,5,3,207,
Eastern,1,3,6,PHI,BKN,5,PHI,BKN,1440.04,1464.91,1456.36,1431.49,5,3,218,
Eastern,1,3,6,PHI,BKN,6,BKN,PHI,1431.49,1457.27,1464.91,1439.12,4,4,72,
Eastern,1,3,6,PHI,BKN,7,PHI,BKN,1439.12,1464.09,1457.27,1432.3,4,4,71,
Eastern,1,4,5,BOS,IND,1,BOS,IND,1421.1,1447.29,1462.37,1436.17,4,4,36,
Eastern,1,4,5,BOS,IND,2,BOS,IND,1447.29,1470.65,1436.17,1412.82,4,4,41,
Eastern,1,4,5,BOS,IND,3,IND,BOS,1412.82,1439.86,1470.65,1443.61,4,4,107,
Eastern,1,4,5,BOS,IND,4,IND,IND,1443.61,1459.42,1439.86,1424.04,5,3,72,
Eastern,1,4,5,BOS,IND,5,BOS,BOS,1424.04,1442.06,1459.42,1441.41,5,3,95,
Eastern,1,4,5,BOS,IND,6,IND,BOS,1442.06,1466,1441.41,1417.47,4,4,75,
Eastern,1,4,5,BOS,IND,7,BOS,IND,1417.47,1444.04,1466,1439.43,5,3,73,
Eastern,2,5,8,IND,DET,1,IND,DET,1482.69,1504.49,1444.04,1422.24,5,3,74,
Eastern,2,5,8,IND,DET,2,IND,DET,1504.49,1523.79,1422.24,1402.95,4,4,70,
Eastern,2,5,8,IND,DET,3,DET,IND,1402.95,1432.95,1523.79,1493.79,5,3,68,
Eastern,2,5,8,IND,DET,4,DET,DET,1493.79,1506.59,1432.95,1420.14,5,3,36,
Eastern,2,5,8,IND,DET,5,IND,DET,1506.59,1525.65,1420.14,1401.09,4,4,40,
Eastern,2,6,7,BKN,ORL,1,BKN,ORL,1508.58,1530.05,1464.09,1442.63,5,3,72,
Eastern,2,6,7,BKN,ORL,2,BKN,ORL,1530.05,1549.05,1442.63,1423.63,4,4,77,
Eastern,2,6,7,BKN,ORL,3,ORL,BKN,1423.63,1453.82,1549.05,1518.85,5,3,90,
Eastern,2,6,7,BKN,ORL,4,ORL,BKN,1453.82,1481.23,1518.85,1491.45,5,3,35,
Eastern,2,6,7,BKN,ORL,5,BKN,ORL,1491.45,1514.85,1481.23,1457.82,4,4,41,
Eastern,2,6,7,BKN,ORL,6,ORL,BKN,1457.82,1484.82,1514.85,1487.85,5,3,71,
Eastern,2,6,7,BKN,ORL,7,BKN,ORL,1487.85,1511.66,1484.82,1461.02,4,4,75,
Eastern,3,7,8,ORL,DET,1,ORL,DET,1525.65,1548.84,1511.66,1488.46,5,3,37,
Eastern,3,7,8,ORL,DET,2,ORL,DET,1548.84,1569.4,1488.46,1467.91,5,3,40,
Eastern,3,7,8,ORL,DET,3,DET,ORL,1467.91,1497.05,1569.4,1540.26,5,3,76,
