Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D
Eastern,1,1,8,TOR,WAS,1,TOR,TOR,1542.41,1547.27,1384.99,1380.13,19024,5977,772,
Eastern,1,1,8,TOR,WAS,2,TOR,TOR,1547.27,1551.93,1380.13,1375.48,19263,5738,940,
Eastern,1,1,8,TOR,WAS,3,WAS,TOR,1551.93,1558.19,1375.48,1369.21,16970,8031,725,
Eastern,1,1,8,TOR,WAS,4,WAS,TOR,1558.19,1564.15,1369.21,1363.26,17512,7489,689,
Eastern,1,2,7,BOS,MIL,1,BOS,BOS,1485.97,1493.04,1421.36,1414.28,16195,8806,742,
Eastern,1,2,7,BOS,MIL,2,BOS,BOS,1493.04,1499.75,1414.28,1407.57,16722,8279,712,
Eastern,1,2,7,BOS,MIL,3,MIL,BOS,1499.75,1508.26,1407.57,1399.06,14255,10746,785,
Eastern,1,2,7,BOS,MIL,4,MIL,BOS,1508.26,1516.29,1399.06,1391.03,14738,10263,774,
Eastern,1,3,6,PHI,MIA,1,PHI,PHI,1537.82,1543.38,1412.24,1406.67,18249,6752,693,
Eastern,1,3,6,PHI,MIA,2,PHI,PHI,1543.38,1548.69,1406.67,1401.36,18481,6520,681,
Eastern,1,3,6,PHI,MIA,3,MIA,PHI,1548.69,1555.7,1401.36,1394.35,15965,9036,773,
Eastern,1,3,6,PHI,MIA,4,MIA,PHI,1555.7,1562.34,1394.35,1387.71,16473,8528,737,
Eastern,1,4,5,CLE,IND,1,CLE,CLE,1470.47,1479.72,1484.49,1475.24,13440,11561,852,
Eastern,1,4,5,CLE,IND,2,CLE,CLE,1479.72,1488.45,1475.24,1466.51,14217,10784,801,
Eastern,1,4,5,CLE,IND,3,IND,IND,1466.51,1475.99,1488.45,1478.97,13196,11805,780,
Eastern,1,4,5,CLE,IND,4,IND,IND,1475.99,1484.93,1478.97,1470.03,13974,11027,743,
Eastern,1,4,5,CLE,IND,5,CLE,CLE,1470.03,1479.31,1484.93,1475.65,13440,11561,766,
Eastern,1,4,5,CLE,IND,6,IND,IND,1475.65,1484.61,1479.31,1470.35,13974,11027,813,
Eastern,1,4,5,CLE,IND,7,CLE,CLE,1470.35,1479.61,1484.61,1475.35,13440,11561,815,
Eastern,2,1,4,TOR,CLE,1,TOR,TOR,1564.15,1570.71,1479.61,1473.05,16963,8038,709,
Eastern,2,1,4,TOR,CLE,2,TOR,TOR,1570.71,1576.94,1473.05,1466.82,17199,7802,717,
Eastern,2,1,4,TOR,CLE,3,CLE,TOR,1576.94,1584.95,1466.82,1458.81,14738,10263,741,
Eastern,2,1,4,TOR,CLE,4,CLE,TOR,1584.95,1592.52,1458.81,1451.24,15503,9498,703,
Eastern,2,2,3,BOS,PHI,1,BOS,PHI,1562.34,1572.17,1516.29,1506.47,12564,12437,822,
Eastern,2,2,3,BOS,PHI,2,BOS,PHI,1572.17,1581.43,1506.47,1497.21,13258,11743,804,
Eastern,2,2,3,BOS,PHI,3,PHI,PHI,1581.43,1588,1497.21,1490.64,16963,8038,652,
Eastern,2,2,3,BOS,PHI,4,PHI,PHI,1588,1594.24,1490.64,1484.4,17199,7802,645,
Eastern,3,1,3,TOR,PHI,1,TOR,TOR,1592.52,1601.42,1594.24,1585.34,13974,11027,790,
Eastern,3,1,3,TOR,PHI,2,TOR,TOR,1601.42,1609.82,1585.34,1576.94,14705,10296,785,
Eastern,3,1,3,TOR,PHI,3,PHI,PHI,1576.94,1586.73,1609.82,1600.03,12951,12050,820,
Eastern,3,1,3,TOR,PHI,4,PHI,PHI,1586.73,1595.97,1600.03,1590.8,13440,11561,820,
Eastern,3,1,3,TOR,PHI,5,TOR,TOR,1590.8,1599.8,1595.97,1586.96,13714,11287,789,
Eastern,3,1,3,TOR,PHI,6,PHI,PHI,1586.96,1596.18,1599.8,1590.58,13440,11561,749,
Eastern,3,1,3,TOR,PHI,7,TOR,TOR,1590.58,1599.59,1596.18,1587.17,13714,11287,998,
Western,1,1,8,HOU,MIN,1,HOU,HOU,1618.45,1622.88,1440.37,1435.94,19508,5493,621,
Western,1,1,8,HOU,MIN,2,HOU,HOU,1622.88,1627.14,1435.94,1431.68,19749,5252,613,
Western,1,1,8,HOU,MIN,3,MIN,HOU,1627.14,1632.94,1431.68,1425.87,17512,7489,687,
Western,1,1,8,HOU,MIN,4,MIN,HOU,1632.94,1638.48,1425.87,1420.34,18022,6979,673,
Western,1,2,7,GSW,SAS,1,GSW,GSW,1490.14,1497.65,1441.95,1434.44,15713,9288,746,
Western,1,2,7,GSW,SAS,2,GSW,GSW,1497.65,1504.76,1434.44,1427.32,16195,8806,730,
Western,1,2,7,GSW,SAS,3,SAS,GSW,1504.76,1513.69,1427.32,1418.4,13746,11255,833,
Western,1,2,7,GSW,SAS,4,SAS,GSW,1513.69,1522.11,1418.4,1409.97,14255,10746,835,
Western,1,3,6,POR,NOP,1,POR,POR,1494.95,1503.59,1487.25,1478.62,14217,10784,761,
Western,1,3,6,POR,NOP,2,POR,POR,1503.59,1511.74,1478.62,1470.47,14971,10030,743,
Western,1,3,6,POR,NOP,3,NOP,POR,1511.74,1521.7,1470.47,1460.5,12564,12437,842,
Western,1,3,6,POR,NOP,4,NOP,POR,1521.7,1531.09,1460.5,1451.11,13258,11743,845,
Western,1,4,5,OKC,UTA,1,OKC,OKC,1480.17,1490.05,1516.09,1506.21,12679,12322,821,
Western,1,4,5,OKC,UTA,2,OKC,OKC,1490.05,1499.36,1506.21,1496.9,13440,11561,816,
Western,1,4,5,OKC,UTA,3,UTA,UTA,1496.9,1505.82,1499.36,1490.44,13974,11027,754,
Western,1,4,5,OKC,UTA,4,UTA,UTA,1505.82,1514.24,1490.44,1482.02,14461,10540,741,
Western,1,4,5,OKC,UTA,5,OKC,OKC,1482.02,1491.8,1514.24,1504.46,12951,12050,782,
Western,1,4,5,OKC,UTA,6,UTA,UTA,1504.46,1512.96,1491.8,1483.3,14461,10540,793,
Western,1,4,5,OKC,UTA,7,OKC,OKC,1483.3,1493,1512.96,1503.26,12951,12050,819,
Western,2,1,4,HOU,OKC,1,HOU,HOU,1638.48,1643.59,1493,1487.89,18769,6232,593,
Western,2,1,4,HOU,OKC,2,HOU,HOU,1643.59,1648.49,1487.89,1482.99,19024,5977,652,
Western,2,1,4,HOU,OKC,3,OKC,HOU,1648.49,1655.03,1482.99,1476.45,16716,8285,722,
Western,2,1,4,HOU,OKC,4,OKC,HOU,1655.03,1661.24,1476.45,1470.24,16970,8031,721,
Western,2,2,3,GSW,POR,1,GSW,GSW,1522.11,1531.22,1531.09,1521.98,13714,11287,793,
Western,2,2,3,GSW,POR,2,GSW,GSW,1531.22,1539.81,1521.98,1513.39,14461,10540,794,
Western,2,2,3,GSW,POR,3,POR,POR,1513.39,1523,1539.81,1530.2,12951,12050,818,
Western,2,2,3,GSW,POR,4,POR,POR,1523,1532.06,1530.2,1521.15,13714,11287,809,
Western,2,2,3,GSW,POR,5,GSW,GSW,1521.15,1530.31,1532.06,1522.9,13714,11287,803,
Western,2,2,3,GSW,POR,6,POR,POR,1522.9,1531.96,1530.31,1521.25,13714,11287,763,
Western,2,2,3,GSW,POR,7,GSW,GSW,1521.25,1530.4,1531.96,1522.8,13714,11287,746,
Western,3,1,2,HOU,GSW,1,HOU,HOU,1661.24,1666.68,1530.4,1524.96,18249,6752,664,
Western,3,1,2,HOU,GSW,2,HOU,HOU,1666.68,1671.88,1524.96,1519.76,18769,6232,643,
Western,3,1,2,HOU,GSW,3,GSW,HOU,1671.88,1678.76,1519.76,1512.88,16221,8780,758,
Western,3,1,2,HOU,GSW,4,GSW,HOU,1678.76,1685.29,1512.88,1506.35,16716,8285,723,
Final,4,1,1,HOU,TOR,1,HOU,HOU,1685.29,1691.82,1599.59,1593.06,16963,8038,707,
Final,4,1,1,HOU,TOR,2,HOU,HOU,1691.82,1698.03,1593.06,1586.85,17199,7802,644,
Final,4,1,1,HOU,TOR,3,TOR,HOU,1698.03,1706.01,1586.85,1578.87,14998,10003,716,
Final,4,1,1,HOU,TOR,4,TOR,HOU,1706.01,1713.55,1578.87,1571.33,15503,9498,745,
