Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,ATL,BKN,1,ATL,ATL,1518.94,1530.31,1398.55,1387.17,2958,1138,6174,
Eastern,1,1,8,ATL,BKN,2,ATL,ATL,1530.31,1540.65,1387.17,1376.84,3093,1003,229,
Eastern,1,1,8,ATL,BKN,3,BKN,ATL,1540.65,1553.81,1376.84,1363.68,2696,1400,221,
Eastern,1,1,8,ATL,BKN,4,BKN,ATL,1553.81,1565.67,1363.68,1351.82,2836,1260,220,
Eastern,1,2,7,CLE,BOS,1,CLE,CLE,1526.41,1539.99,1450.73,1437.16,2749,1347,184,
Eastern,1,2,7,CLE,BOS,2,CLE,CLE,1539.99,1552.2,1437.16,1424.95,2874,1222,210,
Eastern,1,2,7,CLE,BOS,3,BOS,CLE,1552.2,1567.28,1424.95,1409.87,2505,1591,207,
Eastern,1,2,7,CLE,BOS,4,BOS,CLE,1567.28,1580.77,1409.87,1396.38,2664,1432,195,
Eastern,1,3,6,CHI,MIL,1,CHI,CHI,1464.27,1477.3,1377.8,1364.77,2788,1308,220,
Eastern,1,3,6,CHI,MIL,2,CHI,CHI,1477.3,1489.04,1364.77,1353.03,2910,1186,191,
Eastern,1,3,6,CHI,MIL,3,MIL,CHI,1489.04,1503.65,1353.03,1338.42,2545,1551,214,
Eastern,1,3,6,CHI,MIL,4,MIL,CHI,1503.65,1516.74,1338.42,1325.33,2696,1400,183,
Eastern,1,4,5,TOR,WAS,1,TOR,TOR,1430.14,1446.97,1414.57,1397.75,2382,1714,231,
Eastern,1,4,5,TOR,WAS,2,TOR,TOR,1446.97,1461.94,1397.75,1382.77,2585,1511,189,
Eastern,1,4,5,TOR,WAS,3,WAS,TOR,1461.94,1479.69,1382.77,1365.02,2242,1854,292,
Eastern,1,4,5,TOR,WAS,4,WAS,TOR,1479.69,1495.46,1365.02,1349.25,2426,1670,191,
Eastern,2,1,4,ATL,TOR,1,ATL,ATL,1565.67,1579.53,1495.46,1481.6,2702,1394,205,
