Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,MIA,MIL,1,MIA,MIL,1338.86,1365.39,1632.21,1605.68,0,0,17542,
Eastern,1,1,8,MIA,MIL,2,MIA,MIL,1365.39,1390.86,1605.68,1580.2,0,0,201,
Eastern,1,1,8,MIA,MIL,3,MIL,MIA,1580.2,1589.86,1390.86,1381.2,0,0,196,
Eastern,1,1,8,MIA,MIL,4,MIL,MIA,1589.86,1598.81,1381.2,1372.26,0,0,194,
Eastern,1,1,8,MIA,MIL,5,MIA,MIL,1372.26,1397.42,1598.81,1573.64,0,0,195,
Eastern,1,1,8,MIA,MIL,6,MIL,MIA,1573.64,1583.8,1397.42,1387.26,0,0,183,
Eastern,1,1,8,MIA,MIL,7,MIA,MIL,1387.26,1411.68,1583.8,1559.38,0,0,188,
Eastern,1,2,7,NYK,BOS,1,NYK,BOS,1383.27,1405.81,1515.29,1492.75,0,0,240,
Eastern,1,2,7,NYK,BOS,2,NYK,BOS,1405.81,1426.8,1492.75,1471.76,0,0,185,
Eastern,1,2,7,NYK,BOS,3,BOS,NYK,1471.76,1487.41,1426.8,1411.15,0,0,174,
Eastern,1,2,7,NYK,BOS,4,BOS,NYK,1487.41,1501.71,1411.15,1396.85,0,0,240,
Eastern,1,2,7,NYK,BOS,5,NYK,BOS,1396.85,1418.48,1501.71,1480.08,0,0,174,
Eastern,1,2,7,NYK,BOS,6,BOS,NYK,1480.08,1495.01,1418.48,1403.55,0,0,194,
Eastern,1,2,7,NYK,BOS,7,NYK,BOS,1403.55,1424.7,1495.01,1473.86,0,0,191,
Eastern,1,3,6,IND,ATL,1,IND,ATL,1392.69,1412.72,1453.72,1433.69,0,0,267,
Eastern,1,3,6,IND,ATL,2,IND,ATL,1412.72,1431.15,1433.69,1415.26,0,0,259,
Eastern,1,3,6,IND,ATL,3,ATL,IND,1415.26,1433.48,1431.15,1412.93,0,0,264,
Eastern,1,3,6,IND,ATL,4,ATL,IND,1433.48,1450.18,1412.93,1396.23,0,0,283,
Eastern,1,3,6,IND,ATL,5,IND,ATL,1396.23,1415.98,1450.18,1430.43,0,0,262,
Eastern,1,3,6,IND,ATL,6,ATL,IND,1430.43,1447.38,1415.98,1399.03,0,0,190,
Eastern,1,3,6,IND,ATL,7,IND,ATL,1399.03,1418.56,1447.38,1427.85,0,0,178,
Eastern,1,4,5,BKN,CHI,1,BKN,CHI,1422.15,1441.62,1468.95,1449.48,0,0,166,
Eastern,1,4,5,BKN,CHI,2,BKN,CHI,1441.62,1459.51,1449.48,1431.59,0,0,170,
Eastern,1,4,5,BKN,CHI,3,CHI,BKN,1431.59,1450.3,1459.51,1440.8,0,0,250,
Eastern,1,4,5,BKN,CHI,4,CHI,BKN,1450.3,1467.47,1440.8,1423.63,0,0,165,
Eastern,1,4,5,BKN,CHI,5,BKN,CHI,1423.63,1442.99,1467.47,1448.11,0,0,252,
Eastern,1,4,5,BKN,CHI,6,CHI,BKN,1448.11,1465.46,1442.99,1425.64,0,0,262,
Eastern,1,4,5,BKN,CHI,7,BKN,CHI,1425.64,1444.83,1465.46,1446.27,0,0,185,
Eastern,2,5,8,CHI,MIL,1,CHI,MIL,1411.68,1430.61,1444.83,1425.9,0,0,232,
Eastern,2,5,8,CHI,MIL,2,CHI,MIL,1430.61,1447.98,1425.9,1408.54,0,0,190,
Eastern,2,5,8,CHI,MIL,3,MIL,CHI,1408.54,1427.72,1447.98,1428.8,0,0,266,
