Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,BOS,CHI,1,BOS,BOS,1498.45,1506.85,1404.48,1396.08,2990,1106,204,
Eastern,1,1,8,BOS,CHI,2,BOS,BOS,1506.85,1514.68,1396.08,1388.25,3062,1034,105,
Eastern,1,1,8,BOS,CHI,3,CHI,BOS,1514.68,1527.27,1388.25,1375.66,2335,1761,112,
Eastern,1,1,8,BOS,CHI,4,CHI,BOS,1527.27,1538.81,1375.66,1364.12,2474,1622,127,
Eastern,1,2,7,CLE,IND,1,CLE,CLE,1434.06,1445.3,1415.04,1403.8,2635,1461,111,
Eastern,1,2,7,CLE,IND,2,CLE,CLE,1445.3,1455.64,1403.8,1393.46,2746,1350,110,
Eastern,1,2,7,CLE,IND,3,IND,IND,1393.46,1408.12,1455.64,1440.98,2165,1931,114,
Eastern,1,2,7,CLE,IND,4,IND,IND,1408.12,1421.52,1440.98,1427.58,2327,1769,116,
Eastern,1,2,7,CLE,IND,5,CLE,CLE,1427.58,1439.34,1421.52,1409.76,2568,1528,111,
Eastern,1,2,7,CLE,IND,6,IND,IND,1409.76,1423.02,1439.34,1426.08,2327,1769,113,
Eastern,1,2,7,CLE,IND,7,CLE,CLE,1426.08,1437.97,1423.02,1411.13,2568,1528,125,
Eastern,1,3,6,TOR,MIL,1,TOR,TOR,1483.45,1493.22,1426.96,1417.19,2830,1266,107,
Eastern,1,3,6,TOR,MIL,2,TOR,TOR,1493.22,1502.26,1417.19,1408.15,2912,1184,119,
Eastern,1,3,6,TOR,MIL,3,MIL,TOR,1502.26,1516.22,1408.15,1394.19,2138,1958,115,
Eastern,1,3,6,TOR,MIL,4,MIL,TOR,1516.22,1528.99,1394.19,1381.42,2287,1809,113,
Eastern,1,4,5,WAS,ATL,1,WAS,WAS,1476.55,1485.43,1395.96,1387.09,2954,1142,105,
Eastern,1,4,5,WAS,ATL,2,WAS,WAS,1485.43,1493.68,1387.09,1378.83,3028,1068,103,
Eastern,1,4,5,WAS,ATL,3,ATL,WAS,1493.68,1506.76,1378.83,1365.76,2249,1847,114,
Eastern,1,4,5,WAS,ATL,4,ATL,WAS,1506.76,1518.73,1365.76,1353.78,2422,1674,113,
Eastern,2,1,4,BOS,WAS,1,BOS,BOS,1538.81,1550.01,1518.73,1507.54,2635,1461,96,
Eastern,2,1,4,BOS,WAS,2,BOS,BOS,1550.01,1560.31,1507.54,1497.23,2746,1350,122,
Eastern,2,1,4,BOS,WAS,3,WAS,WAS,1497.23,1511.93,1560.31,1545.61,2123,1973,196,
Eastern,2,1,4,BOS,WAS,4,WAS,WAS,1511.93,1525.37,1545.61,1532.17,2327,1769,361,
Eastern,2,1,4,BOS,WAS,5,BOS,BOS,1532.17,1543.91,1525.37,1513.63,2568,1528,231,
Eastern,2,1,4,BOS,WAS,6,WAS,WAS,1513.63,1526.93,1543.91,1530.62,2327,1769,213,
Eastern,2,1,4,BOS,WAS,7,BOS,BOS,1530.62,1542.48,1526.93,1515.06,2568,1528,268,
Eastern,2,2,3,CLE,TOR,1,CLE,TOR,1528.99,1543.09,1437.97,1423.88,2138,1958,179,
Eastern,2,2,3,CLE,TOR,2,CLE,TOR,1543.09,1555.98,1423.88,1410.99,2287,1809,212,
Eastern,2,2,3,CLE,TOR,3,TOR,TOR,1555.98,1562.72,1410.99,1404.24,3231,865,207,
Eastern,2,2,3,CLE,TOR,4,TOR,TOR,1562.72,1569.07,1404.24,1397.89,3273,823,181,
Eastern,3,1,3,BOS,TOR,1,BOS,BOS,1542.48,1555.62,1569.07,1555.94,2373,1723,182,
Eastern,3,1,3,BOS,TOR,2,BOS,BOS,1555.62,1567.65,1555.94,1543.9,2526,1570,193,
