Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,IND,ATL,1,IND,IND,1459.74,1471.72,1362.33,1350.34,49,15,145,
Eastern,1,1,8,IND,ATL,2,IND,IND,1471.72,1482.59,1350.34,1339.48,51,13,7,
Eastern,1,1,8,IND,ATL,3,ATL,IND,1482.59,1497.35,1339.48,1324.72,36,28,7,
Eastern,1,1,8,IND,ATL,4,ATL,IND,1497.35,1510.57,1324.72,1311.5,36,28,9,
Eastern,1,2,7,MIA,CHA,1,MIA,MIA,1458.71,1475.77,1457.14,1440.09,41,23,7,
Eastern,1,2,7,MIA,CHA,2,MIA,MIA,1475.77,1490.93,1440.09,1424.93,45,19,7,
Eastern,1,2,7,MIA,CHA,3,CHA,CHA,1424.93,1445.85,1490.93,1470.01,36,28,6,
Eastern,1,2,7,MIA,CHA,4,CHA,CHA,1445.85,1464.36,1470.01,1451.5,39,25,7,
Eastern,1,2,7,MIA,CHA,5,MIA,MIA,1451.5,1469.37,1464.36,1446.49,40,24,6,
Eastern,1,2,7,MIA,CHA,6,CHA,CHA,1446.49,1464.93,1469.37,1450.93,39,25,6,
Eastern,1,2,7,MIA,CHA,7,MIA,MIA,1450.93,1468.86,1464.93,1447,40,24,6,
Eastern,1,3,6,TOR,BKN,1,TOR,TOR,1463.32,1479.29,1442.38,1426.41,44,20,7,
Eastern,1,3,6,TOR,BKN,2,TOR,TOR,1479.29,1493.54,1426.41,1412.17,47,17,7,
Eastern,1,3,6,TOR,BKN,3,BKN,BKN,1412.17,1433.97,1493.54,1471.74,34,30,7,
Eastern,1,3,6,TOR,BKN,4,BKN,BKN,1433.97,1453.26,1471.74,1452.44,39,25,6,
Eastern,1,3,6,TOR,BKN,5,TOR,TOR,1452.44,1469.63,1453.26,1436.07,41,23,6,
Eastern,1,3,6,TOR,BKN,6,BKN,BKN,1436.07,1455.13,1469.63,1450.57,39,25,6,
Eastern,1,3,6,TOR,BKN,7,TOR,TOR,1450.57,1467.97,1455.13,1437.73,41,23,6,
Eastern,1,4,5,CHI,WAS,1,CHI,CHI,1484.42,1498.83,1434.72,1420.31,46,18,7,
Eastern,1,4,5,CHI,WAS,2,CHI,CHI,1498.83,1511.75,1420.31,1407.39,49,15,7,
Eastern,1,4,5,CHI,WAS,3,WAS,CHI,1511.75,1528.65,1407.39,1390.49,32,32,6,
Eastern,1,4,5,CHI,WAS,4,WAS,CHI,1528.65,1543.68,1390.49,1375.46,35,29,8,
Eastern,2,1,4,IND,CHI,1,IND,IND,1510.57,1529.6,1543.68,1524.65,39,25,7,
Eastern,2,1,4,IND,CHI,2,IND,IND,1529.6,1546.46,1524.65,1507.79,41,23,6,
Eastern,2,1,4,IND,CHI,3,CHI,CHI,1507.79,1527.14,1546.46,1527.12,39,25,6,
Eastern,2,1,4,IND,CHI,4,CHI,CHI,1527.14,1544.28,1527.12,1509.98,41,23,7,
Eastern,2,1,4,IND,CHI,5,IND,IND,1509.98,1529.07,1544.28,1525.18,39,25,6,
Eastern,2,1,4,IND,CHI,6,CHI,CHI,1525.18,1542.54,1529.07,1511.71,41,23,6,
Eastern,2,1,4,IND,CHI,7,IND,IND,1511.71,1530.61,1542.54,1523.64,39,25,6,
Eastern,2,2,3,MIA,TOR,1,MIA,MIA,1468.86,1485.95,1467.97,1450.88,41,23,7,
Eastern,2,2,3,MIA,TOR,2,MIA,MIA,1485.95,1501.15,1450.88,1435.68,45,19,6,
Eastern,2,2,3,MIA,TOR,3,TOR,TOR,1435.68,1456.57,1501.15,1480.26,36,28,6,
Eastern,2,2,3,MIA,TOR,4,TOR,TOR,1456.57,1475.06,1480.26,1461.77,39,25,6,
Eastern,2,2,3,MIA,TOR,5,MIA,MIA,1461.77,1479.67,1475.06,1457.17,40,24,6,
Eastern,2,2,3,MIA,TOR,6,TOR,TOR,1457.17,1475.59,1479.67,1461.25,39,25,6,
Eastern,2,2,3,MIA,TOR,7,MIA,MIA,1461.25,1479.2,1475.59,1457.63,40,24,6,
Eastern,3,1,2,IND,MIA,1,IND,IND,1530.61,1544.93,1479.2,1464.88,47,17,7,
Eastern,3,1,2,IND,MIA,2,IND,IND,1544.93,1557.78,1464.88,1452.03,49,15,7,
Eastern,3,1,2,IND,MIA,3,MIA,IND,1557.78,1574.6,1452.03,1435.22,32,32,6,
Eastern,3,1,2,IND,MIA,4,MIA,IND,1574.6,1589.56,1435.22,1420.25,35,29,6,
Western,1,1,8,SAS,DAL,1,SAS,SAS,1581.9,1593.82,1483.07,1471.15,49,15,7,
Western,1,1,8,SAS,DAL,2,SAS,SAS,1593.82,1604.62,1471.15,1460.35,51,13,7,
Western,1,1,8,SAS,DAL,3,DAL,SAS,1604.62,1619.32,1460.35,1445.64,36,28,6,
Western,1,1,8,SAS,DAL,4,DAL,SAS,1619.32,1632.49,1445.64,1432.48,38,26,7,
Western,1,2,7,OKC,MEM,1,OKC,OKC,1531.21,1547.85,1522.26,1505.62,41,23,6,
Western,1,2,7,OKC,MEM,2,OKC,OKC,1547.85,1562.66,1505.62,1490.81,45,19,6,
Western,1,2,7,OKC,MEM,3,MEM,MEM,1490.81,1512.06,1562.66,1541.4,35,29,6,
Western,1,2,7,OKC,MEM,4,MEM,MEM,1512.06,1530.87,1541.4,1522.59,39,25,7,
Western,1,2,7,OKC,MEM,5,OKC,OKC,1522.59,1540.2,1530.87,1513.26,40,24,6,
Western,1,2,7,OKC,MEM,6,MEM,MEM,1513.26,1531.94,1540.2,1521.53,39,25,6,
Western,1,2,7,OKC,MEM,7,OKC,OKC,1521.53,1539.26,1531.94,1514.21,40,24,6,
Western,1,3,6,LAC,GSW,1,LAC,LAC,1545.9,1560.27,1495.26,1480.9,47,17,6,
Western,1,3,6,LAC,GSW,2,LAC,LAC,1560.27,1573.15,1480.9,1468.02,49,15,6,
Western,1,3,6,LAC,GSW,3,GSW,LAC,1573.15,1590,1468.02,1451.17,32,32,7,
Western,1,3,6,LAC,GSW,4,GSW,LAC,1590,1604.99,1451.17,1436.17,35,29,6,
Western,1,4,5,HOU,POR,1,HOU,HOU,1508.44,1524.96,1497.38,1480.86,41,23,7,
Western,1,4,5,HOU,POR,2,HOU,HOU,1524.96,1539.67,1480.86,1466.15,46,18,6,
Western,1,4,5,HOU,POR,3,POR,POR,1466.15,1487.5,1539.67,1518.32,35,29,6,
Western,1,4,5,HOU,POR,4,POR,POR,1487.5,1506.4,1518.32,1499.42,39,25,6,
Western,1,4,5,HOU,POR,5,HOU,HOU,1499.42,1516.96,1506.4,1488.86,41,23,6,
Western,1,4,5,HOU,POR,6,POR,POR,1488.86,1507.6,1516.96,1498.22,39,25,6,
Western,1,4,5,HOU,POR,7,HOU,HOU,1498.22,1515.89,1507.6,1489.93,40,24,6,
Western,2,1,4,SAS,HOU,1,SAS,SAS,1632.49,1643.57,1515.89,1504.81,51,13,6,
Western,2,1,4,SAS,HOU,2,SAS,SAS,1643.57,1653.66,1504.81,1494.72,51,13,6,
Western,2,1,4,SAS,HOU,3,HOU,SAS,1653.66,1667.59,1494.72,1480.79,36,28,6,
Western,2,1,4,SAS,HOU,4,HOU,SAS,1667.59,1680.1,1480.79,1468.28,39,25,7,
Western,2,2,3,OKC,LAC,1,OKC,OKC,1539.26,1560.16,1604.99,1584.09,36,28,6,
Western,2,2,3,OKC,LAC,2,OKC,OKC,1560.16,1578.66,1584.09,1565.59,39,25,6,
Western,2,2,3,OKC,LAC,3,LAC,LAC,1565.59,1583.47,1578.66,1560.78,40,24,6,
Western,2,2,3,OKC,LAC,4,LAC,LAC,1583.47,1599.35,1560.78,1544.91,44,20,7,
Western,2,2,3,OKC,LAC,5,OKC,OKC,1544.91,1565.16,1599.35,1579.09,38,26,6,
Western,2,2,3,OKC,LAC,6,LAC,LAC,1579.09,1595.45,1565.16,1548.8,44,20,6,
