Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,IND,ATL,1,IND,IND,1459.74,1465.26,1362.33,1356.81,191376,70768,3937,
Eastern,1,1,8,IND,ATL,2,IND,IND,1465.26,1470.53,1356.81,1351.54,194064,68080,3194,
Eastern,1,1,8,IND,ATL,3,ATL,IND,1470.53,1479.13,1351.54,1342.94,149489,112655,3541,
Eastern,1,1,8,IND,ATL,4,ATL,IND,1479.13,1487.25,1342.94,1334.82,154725,107419,2909,
Eastern,1,2,7,MIA,CHA,1,MIA,MIA,1458.71,1466.68,1457.14,1449.18,159879,102265,2046,
Eastern,1,2,7,MIA,CHA,2,MIA,MIA,1466.68,1474.22,1449.18,1441.64,165208,96936,2044,
Eastern,1,2,7,MIA,CHA,3,CHA,CHA,1441.64,1450.57,1474.22,1465.29,146542,115602,2001,
Eastern,1,2,7,MIA,CHA,4,CHA,CHA,1450.57,1458.99,1465.29,1456.87,151909,110235,2125,
Eastern,1,2,7,MIA,CHA,5,MIA,MIA,1456.87,1464.94,1458.99,1450.92,157238,104906,2108,
Eastern,1,2,7,MIA,CHA,6,CHA,CHA,1450.92,1459.32,1464.94,1456.54,151909,110235,2065,
Eastern,1,2,7,MIA,CHA,7,MIA,MIA,1456.54,1464.63,1459.32,1451.23,157238,104906,1981,
Eastern,1,3,6,TOR,BKN,1,TOR,TOR,1463.32,1470.76,1442.38,1434.94,165208,96936,2092,
Eastern,1,3,6,TOR,BKN,2,TOR,TOR,1470.76,1477.81,1434.94,1427.9,170493,91651,1958,
Eastern,1,3,6,TOR,BKN,3,BKN,BKN,1427.9,1437.32,1477.81,1468.38,138809,123335,2111,
Eastern,1,3,6,TOR,BKN,4,BKN,BKN,1437.32,1446.2,1468.38,1459.5,146542,115602,2078,
Eastern,1,3,6,TOR,BKN,5,TOR,TOR,1459.5,1467.15,1446.2,1438.56,162516,99628,2163,
Eastern,1,3,6,TOR,BKN,6,BKN,BKN,1438.56,1447.37,1467.15,1458.33,146542,115602,2140,
Eastern,1,3,6,TOR,BKN,7,TOR,TOR,1458.33,1466.05,1447.37,1439.66,162516,99628,1914,
Eastern,1,4,5,CHI,WAS,1,CHI,CHI,1484.42,1491.1,1434.72,1428.04,175656,86488,1930,
Eastern,1,4,5,CHI,WAS,2,CHI,CHI,1491.1,1497.45,1428.04,1421.69,180872,81272,1889,
Eastern,1,4,5,CHI,WAS,3,WAS,CHI,1497.45,1507.28,1421.69,1411.86,131289,130855,2175,
Eastern,1,4,5,CHI,WAS,4,WAS,CHI,1507.28,1516.55,1411.86,1402.59,139119,123025,2092,
Eastern,2,1,4,IND,CHI,1,IND,IND,1487.25,1496.08,1516.55,1507.72,146542,115602,3042,
Eastern,2,1,4,IND,CHI,2,IND,IND,1496.08,1504.42,1507.72,1499.38,154612,107532,2073,
Eastern,2,1,4,IND,CHI,3,CHI,CHI,1499.38,1507.53,1504.42,1496.27,157238,104906,2075,
Eastern,2,1,4,IND,CHI,4,CHI,CHI,1507.53,1515.24,1496.27,1488.56,162516,99628,2024,
Eastern,2,1,4,IND,CHI,5,IND,IND,1488.56,1497.32,1515.24,1506.48,149224,112920,2115,
Eastern,2,1,4,IND,CHI,6,CHI,CHI,1506.48,1514.24,1497.32,1489.56,162516,99628,1912,
Eastern,2,1,4,IND,CHI,7,IND,IND,1489.56,1498.26,1514.24,1505.54,149224,112920,2161,
Eastern,2,2,3,MIA,TOR,1,MIA,MIA,1464.63,1472.68,1466.05,1457.99,157238,104906,2171,
Eastern,2,2,3,MIA,TOR,2,MIA,MIA,1472.68,1480.29,1457.99,1450.38,162516,99628,2023,
Eastern,2,2,3,MIA,TOR,3,TOR,TOR,1450.38,1459.24,1480.29,1471.44,146542,115602,2251,
Eastern,2,2,3,MIA,TOR,4,TOR,TOR,1459.24,1467.59,1471.44,1463.08,154612,107532,2026,
Eastern,2,2,3,MIA,TOR,5,MIA,MIA,1463.08,1471.22,1467.59,1459.45,157238,104906,2084,
Eastern,2,2,3,MIA,TOR,6,TOR,TOR,1459.45,1467.79,1471.22,1462.88,154612,107532,2119,
Eastern,2,2,3,MIA,TOR,7,MIA,MIA,1462.88,1471.03,1467.79,1459.64,157238,104906,1937,
Eastern,3,1,2,IND,MIA,1,IND,IND,1498.26,1505.54,1471.03,1463.76,167895,94249,1965,
Eastern,3,1,2,IND,MIA,2,IND,IND,1505.54,1512.43,1463.76,1456.87,173065,89079,1927,
Eastern,3,1,2,IND,MIA,3,MIA,MIA,1456.87,1466.45,1512.43,1502.84,138809,123335,2183,
Eastern,3,1,2,IND,MIA,4,MIA,MIA,1466.45,1475.49,1502.84,1493.81,143960,118184,2006,
Eastern,3,1,2,IND,MIA,5,IND,IND,1493.81,1501.32,1475.49,1467.98,165208,96936,2767,
Eastern,3,1,2,IND,MIA,6,MIA,MIA,1467.98,1476.93,1501.32,1492.37,146542,115602,2094,
Eastern,3,1,2,IND,MIA,7,IND,IND,1492.37,1499.96,1476.93,1469.34,165208,96936,1953,
Western,1,1,8,SAS,DAL,1,SAS,SAS,1581.9,1587.39,1483.07,1477.58,191376,70768,2011,
Western,1,1,8,SAS,DAL,2,SAS,SAS,1587.39,1592.63,1477.58,1472.34,194064,68080,7679,
Western,1,1,8,SAS,DAL,3,DAL,SAS,1592.63,1601.19,1472.34,1463.78,149489,112655,2062,
Western,1,1,8,SAS,DAL,4,DAL,SAS,1601.19,1609.27,1463.78,1455.69,154725,107419,2055,
Western,1,2,7,OKC,MEM,1,OKC,OKC,1531.21,1538.97,1522.26,1514.49,162516,99628,2047,
Western,1,2,7,OKC,MEM,2,OKC,OKC,1538.97,1546.32,1514.49,1507.15,167895,94249,2008,
Western,1,2,7,OKC,MEM,3,MEM,MEM,1507.15,1516.26,1546.32,1537.2,143960,118184,2056,
Western,1,2,7,OKC,MEM,4,MEM,MEM,1516.26,1524.86,1537.2,1528.61,151909,110235,2076,
Western,1,2,7,OKC,MEM,5,OKC,OKC,1528.61,1536.52,1524.86,1516.95,159879,102265,2057,
Western,1,2,7,OKC,MEM,6,MEM,MEM,1516.95,1525.51,1536.52,1527.96,151909,110235,2105,
Western,1,2,7,OKC,MEM,7,OKC,OKC,1527.96,1535.9,1525.51,1517.56,159879,102265,1923,
Western,1,3,6,LAC,GSW,1,LAC,LAC,1545.9,1552.57,1495.26,1488.6,175656,86488,1898,
Western,1,3,6,LAC,GSW,2,LAC,LAC,1552.57,1558.89,1488.6,1482.28,180872,81272,1856,
Western,1,3,6,LAC,GSW,3,GSW,LAC,1558.89,1568.7,1482.28,1472.47,131289,130855,2197,
Western,1,3,6,LAC,GSW,4,GSW,LAC,1568.7,1577.95,1472.47,1463.22,139119,123025,2037,
Western,1,4,5,HOU,POR,1,HOU,HOU,1508.44,1516.15,1497.38,1489.67,162516,99628,2023,
Western,1,4,5,HOU,POR,2,HOU,HOU,1516.15,1523.44,1489.67,1482.38,167895,94249,1993,
Western,1,4,5,HOU,POR,3,POR,POR,1482.38,1491.55,1523.44,1514.27,143960,118184,2046,
Western,1,4,5,HOU,POR,4,POR,POR,1491.55,1500.2,1514.27,1505.62,149224,112920,2113,
Western,1,4,5,HOU,POR,5,HOU,HOU,1505.62,1513.49,1500.2,1492.33,159879,102265,2059,
Western,1,4,5,HOU,POR,6,POR,POR,1492.33,1500.94,1513.49,1504.88,149224,112920,2124,
Western,1,4,5,HOU,POR,7,HOU,HOU,1504.88,1512.79,1500.94,1493.03,159879,102265,1920,
Western,2,1,4,SAS,HOU,1,SAS,SAS,1609.27,1614.82,1512.79,1507.24,191376,70768,2059,
Western,2,1,4,SAS,HOU,2,SAS,SAS,1614.82,1620.11,1507.24,1501.95,194064,68080,6049,
Western,2,1,4,SAS,HOU,3,HOU,SAS,1620.11,1628.73,1501.95,1493.33,146875,115269,2162,
Western,2,1,4,SAS,HOU,4,HOU,SAS,1628.73,1636.87,1493.33,1485.19,154725,107419,1947,
Western,2,2,3,OKC,LAC,1,OKC,OKC,1535.9,1545.1,1577.95,1568.75,143960,118184,2153,
Western,2,2,3,OKC,LAC,2,OKC,OKC,1545.1,1553.77,1568.75,1560.08,149224,112920,2136,
Western,2,2,3,OKC,LAC,3,LAC,LAC,1560.08,1567.91,1553.77,1545.93,159879,102265,2013,
Western,2,2,3,OKC,LAC,4,LAC,LAC,1567.91,1575.33,1545.93,1538.52,165208,96936,1936,
Western,2,2,3,OKC,LAC,5,OKC,OKC,1538.52,1547.57,1575.33,1566.28,143960,118184,2160,
Western,2,2,3,OKC,LAC,6,LAC,LAC,1566.28,1573.78,1547.57,1540.07,165208,96936,2011,
Western,2,2,3,OKC,LAC,7,OKC,OKC,1540.07,1549.03,1573.78,1564.82,146542,115602,2113,
Western,3,1,2,SAS,OKC,1,SAS,SAS,1636.87,1642.62,1549.03,1543.28,188701,73443,1810,
Western,3,1,2,SAS,OKC,2,SAS,SAS,1642.62,1648.1,1543.28,1537.8,191376,70768,1760,
Western,3,1,2,SAS,OKC,3,OKC,SAS,1648.1,1656.94,1537.8,1528.96,144317,117827,2053,
Western,3,1,2,SAS,OKC,4,OKC,SAS,1656.94,1665.29,1528.96,1520.61,152079,110065,2081,
Final,4,1,1,SAS,IND,1,SAS,SAS,1665.29,1669.39,1499.96,1495.86,209747,52397,1612,
Final,4,1,1,SAS,IND,2,SAS,SAS,1669.39,1673.34,1495.86,1491.91,212292,49852,1628,
Final,4,1,1,SAS,IND,3,IND,SAS,1673.34,1680.24,1491.91,1485.01,170560,91584,1902,
Final,4,1,1,SAS,IND,4,IND,SAS,1680.24,1686.78,1485.01,1478.46,175735,86409,1871,
